seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples
42,0.02,0.28,0.12,8.061776464171736,8.273233657590074,2.397972353808603,10.671206011398676,0.0015292926440711,2.2190708864861994,16,750
42,0.02,0.28,0.22,6.02204078805045,6.0220407880430615,4.054569348922683,10.076610136965744,0.0009058960859622,2.0933775645021284,16,750
42,0.02,0.28,0.3,4.8776533607058665,4.877653360697448,3.5564120972584505,8.434065457955898,0.0006427253916723,1.9901120837861763,16,750
42,0.02,0.42,0.0,0.0,0.0025220102135173,0.0,0.0025220102135173,0.2506219307950285,11.866327897119314,16,750
42,0.02,0.42,0.05,8.595908423790029,12.368173430149596,0.0,12.368173430149596,0.0007716225744001,4.796558942206944,16,750
42,0.02,0.42,0.12,9.09627644125804,10.991371940157958,0.3479189103480856,11.339290850506044,0.0011331345336056,3.5271931667434844,16,750
42,0.02,0.42,0.22,7.838666862807383,8.13452726066243,1.8430541247394312,9.977581385401862,0.0014613697900397,2.625517615603253,16,750
42,0.02,0.42,0.3,6.841833153762373,6.841833153757812,2.5690089141471897,9.410842067905,0.0016088736684376,2.2842172319600715,16,750
42,0.04,0.0,0.0,0.0293951324074223,0.0715429424243913,0.0072048406867715,0.0787477831111628,0.4986184392666933,12.215731525886754,16,750
42,0.04,0.0,0.05,0.0,0.0,0.2429394639352617,0.2429394639352617,0.0002786977538868,6.065244134233151,16,750
42,0.04,0.0,0.12,0.0,0.0,0.7265804923285681,0.7265804923285681,0.0003239032124802,4.624934717241447,16,750
42,0.04,0.0,0.22,0.0,0.0,1.7570508722122464,1.7570508722122464,0.0003336298508395,3.1445052210627837,16,750
42,0.04,0.0,0.3,0.0,1.0468600400881378e-05,2.6590696582278506,2.659080126828252,0.0003248460064,2.464160279938935,16,750
42,0.04,0.05,0.0,0.0,0.0112177834593989,0.0115308268941027,0.0227486103535017,0.3951622892684484,11.537173732532867,16,750
42,0.04,0.05,0.05,7.976480785649343,10.70152177508793,0.0814043881757189,10.782926163263648,0.0011806018504668,5.056514822162002,16,750
42,0.04,0.05,0.12,8.581485488594671,9.441700803062236,0.9077753470372492,10.349476150099486,0.0017938356132313,3.8156231638204767,16,750
42,0.04,0.05,0.22,7.7684477183997025,7.768447718395052,2.079485313528314,9.847933031923366,0.0023199526367474,2.821012516106992,16,750
42,0.04,0.05,0.3,6.722733618960569,6.722733618953621,2.897707588874911,9.62044120782853,0.0025859980860672,2.4128833366788838,16,750
42,0.04,0.1,0.0,0.0,0.0421687678300654,0.0,0.0421687678300654,0.2558405664712829,9.672530390564985,16,750
42,0.04,0.1,0.05,8.4946095817437,10.768470506469743,0.2948312635543577,11.0633017700241,0.0015349961014294,5.096309123702254,16,750
42,0.04,0.1,0.12,8.832990555204214,9.186468497099009,1.4319781137308691,10.618446610829876,0.0023330657726308,3.413741901530208,16,750
42,0.04,0.1,0.22,6.7556656171786535,6.755665617171793,3.4051313535981578,10.160796970769953,0.0030135174551372,2.5238716843011524,16,750
42,0.04,0.1,0.3,5.539374791906265,5.539374791901079,4.157887774877258,9.697262566778337,0.003280690368525,2.229778299825105,16,750
42,0.04,0.12,0.0,0.0,0.0,0.0040378557916076,0.0040378557916076,0.2542584357243511,12.12791865210983,16,750
42,0.04,0.12,0.05,8.717827005625251,11.144856073092678,0.3013222823549725,11.44617835544765,0.0014874152827557,5.429925647600927,16,750
42,0.04,0.12,0.12,8.409630854633267,8.838123780107201,1.8888063781013855,10.726930158208589,0.0023378817443177,3.311816053556713,16,750
42,0.04,0.12,0.22,6.435541091546035,6.43554109154056,3.8430864012412576,10.27862749278182,0.0029739497056323,2.405381437154714,16,750
42,0.04,0.12,0.3,5.558783052434757,5.558783052429576,4.275715345521943,9.83449839795152,0.003162089887228,2.1607320785828006,16,750
42,0.04,0.16,0.0,0.0493134392626507,0.0897784562509138,0.0,0.0897784562509138,0.2245284226297112,13.22159350826074,16,750
42,0.04,0.16,0.05,8.607735976195197,9.985230307685304,1.0552150336741848,11.040445341359488,0.0015079907269907,4.8368900600335785,16,750
42,0.04,0.16,0.12,7.442623027057261,7.557730005197049,2.657507682235292,10.215237687432342,0.0023173287790378,2.9081860914618485,16,750
42,0.04,0.16,0.22,6.245766576460829,6.24576657645495,3.857818962887896,10.103585539342845,0.0026103334085881,2.208403517993499,16,750
42,0.04,0.16,0.3,5.235983807773318,5.235983807767239,4.3865715027112895,9.622555310478528,0.0025067097596546,2.0459641165365534,16,750
42,0.04,0.28,0.0,0.0,0.0,0.0066911826092828,0.0066911826092828,0.2466057323793641,12.013636389866772,16,750
42,0.04,0.28,0.05,7.3447420301669455,9.188905348791613,1.1695468759447545,10.358452224736366,0.003353263708946,2.679878495019622,16,750
42,0.04,0.28,0.12,6.952600065768859,7.070117275093766,2.805597662363537,9.875714937457303,0.0030381899231085,2.261009229092334,16,750
42,0.04,0.28,0.22,5.446461789856098,5.446461789848668,4.495714148942947,9.942175938791614,0.0018173149001309,2.1655844104261326,16,750
