seed,units,sr,input_scale,leak,MC
48.0,100.0,0.9,0.1,1.0,19.61064349197155
48.0,100.0,0.9,0.5,0.3,4.3132891622599026
48.0,100.0,0.9,0.5,0.7,9.320479433864227
48.0,100.0,0.9,0.5,1.0,12.648219515910746
48.0,100.0,0.9,1.0,0.3,2.648112954305093
48.0,100.0,0.9,1.0,0.7,6.725343333551804
48.0,100.0,0.9,1.0,1.0,9.04416311260055
48.0,100.0,1.1,0.1,0.3,6.617997935584007
48.0,100.0,1.1,0.1,0.7,12.278431582547388
48.0,100.0,1.1,0.1,1.0,16.68748603989367
48.0,100.0,1.1,0.5,0.3,2.7861952999081656
48.0,100.0,1.1,0.5,0.7,8.977374273642926
48.0,100.0,1.1,0.5,1.0,13.25563340461446
48.0,100.0,1.1,1.0,0.3,2.2994691180435605
48.0,100.0,1.1,1.0,0.7,7.075426275590482
48.0,100.0,1.1,1.0,1.0,9.444492034391736
49.0,100.0,0.5,0.1,0.3,4.364686775888192
49.0,100.0,0.5,0.1,0.7,7.503996688942054
49.0,100.0,0.5,0.1,1.0,10.792034024211791
49.0,100.0,0.5,0.5,0.3,3.27484261361358
49.0,100.0,0.5,0.5,0.7,5.767366871820924
49.0,100.0,0.5,0.5,1.0,7.610327575454922
49.0,100.0,0.5,1.0,0.3,1.6943046724986757
49.0,100.0,0.5,1.0,0.7,4.403303532061159
49.0,100.0,0.5,1.0,1.0,5.986719225719236
49.0,100.0,0.9,0.1,0.3,4.919710748417792
49.0,100.0,0.9,0.1,0.7,11.19131038827173
49.0,100.0,0.9,0.1,1.0,18.90515719671075
49.0,100.0,0.9,0.5,0.3,1.3751099296855167
49.0,100.0,0.9,0.5,0.7,6.586351852063899
49.0,100.0,0.9,0.5,1.0,9.771426598495752
49.0,100.0,0.9,1.0,0.3,1.2267180197728265
49.0,100.0,0.9,1.0,0.7,4.975345566148235
49.0,100.0,0.9,1.0,1.0,6.95303861445204
49.0,100.0,1.1,0.1,0.3,0.8973333641531039
49.0,100.0,1.1,0.1,0.7,9.991359579555521
49.0,100.0,1.1,0.1,1.0,13.611528488856447
49.0,100.0,1.1,0.5,0.3,1.018724031052475
49.0,100.0,1.1,0.5,0.7,6.962772668782088
49.0,100.0,1.1,0.5,1.0,10.090209672426631
49.0,100.0,1.1,1.0,0.3,1.0008871906585042
49.0,100.0,1.1,1.0,0.7,5.0760372813946155
49.0,100.0,1.1,1.0,1.0,7.111336998071586
50.0,100.0,0.5,0.1,0.3,4.814649897790362
50.0,100.0,0.5,0.1,0.7,8.112098335874757
50.0,100.0,0.5,0.1,1.0,11.196334026476043
50.0,100.0,0.5,0.5,0.3,4.122939963350456
50.0,100.0,0.5,0.5,0.7,6.393097159906549
50.0,100.0,0.5,0.5,1.0,8.390166207518037
50.0,100.0,0.5,1.0,0.3,2.795516484549146
50.0,100.0,0.5,1.0,0.7,5.076662799002318
50.0,100.0,0.5,1.0,1.0,6.755235527580659
50.0,100.0,0.9,0.1,0.3,5.593660680438172
50.0,100.0,0.9,0.1,0.7,11.553878040133588
50.0,100.0,0.9,0.1,1.0,19.37250702006016
50.0,100.0,0.9,0.5,0.3,2.1630147749217725
50.0,100.0,0.9,0.5,0.7,7.530759022494425
50.0,100.0,0.9,0.5,1.0,11.080057314602861
50.0,100.0,0.9,1.0,0.3,2.201431772536802
50.0,100.0,0.9,1.0,0.7,5.878226950037244
50.0,100.0,0.9,1.0,1.0,7.813432498793467
50.0,100.0,1.1,0.1,0.3,2.6604261150660653
50.0,100.0,1.1,0.1,0.7,9.848642172093653
50.0,100.0,1.1,0.1,1.0,14.552661270786484
50.0,100.0,1.1,0.5,0.3,0.8878745204651444
50.0,100.0,1.1,0.5,0.7,7.222149887069351
50.0,100.0,1.1,0.5,1.0,11.776296836411241
50.0,100.0,1.1,1.0,0.3,1.783779353838765
50.0,100.0,1.1,1.0,0.7,5.817982247131459
50.0,100.0,1.1,1.0,1.0,8.084146404268594
51.0,100.0,0.5,0.1,0.3,5.159354272000435
51.0,100.0,0.5,0.1,0.7,8.95386149956324
51.0,100.0,0.5,0.1,1.0,11.765857130685976
51.0,100.0,0.5,0.5,0.3,4.415340739045764
51.0,100.0,0.5,0.5,0.7,6.675629830543944
51.0,100.0,0.5,0.5,1.0,8.335281260432186
51.0,100.0,0.5,1.0,0.3,2.668824793126688
51.0,100.0,0.5,1.0,0.7,5.16954609820891
51.0,100.0,0.5,1.0,1.0,6.3670361592876485
51.0,100.0,0.9,0.1,0.3,6.617082646015776
51.0,100.0,0.9,0.1,0.7,13.093987693152075
51.0,100.0,0.9,0.1,1.0,19.341499192693938
51.0,100.0,0.9,0.5,0.3,2.4299968880205753
51.0,100.0,0.9,0.5,0.7,7.987799784410232
51.0,100.0,0.9,0.5,1.0,11.11499857934161
51.0,100.0,0.9,1.0,0.3,2.1918973931694237
51.0,100.0,0.9,1.0,0.7,5.929146012168859
51.0,100.0,0.9,1.0,1.0,7.434680376855928
51.0,100.0,1.1,0.1,0.3,2.929564420850685
51.0,100.0,1.1,0.1,0.7,12.277767638657433
51.0,100.0,1.1,0.1,1.0,13.70100558554277
51.0,100.0,1.1,0.5,0.3,2.5111442218204916
51.0,100.0,1.1,0.5,0.7,8.162108151598959
51.0,100.0,1.1,0.5,1.0,11.341518380046315
51.0,100.0,1.1,1.0,0.3,1.9884601258899286
51.0,100.0,1.1,1.0,0.7,5.872083818977653
51.0,100.0,1.1,1.0,1.0,7.5332514710019565
