family,seed,units,sr,input_scale,leak,task,val_nmse,test_nmse,alpha,replicate,val_rank_pct
ESN,43,100,0.9,0.1,0.7,lorenz,5.5273179782941e-07,1.383041180769255e-07,1e-08,lorenz__seed43,0.5185185185185185
ESN,43,100,0.9,0.1,0.7,sunspots_annual,0.1812378539235173,0.1817215745689131,1.0,sunspots_annual__seed43,0.1111111111111111
ESN,43,100,0.9,0.1,1.0,mackey_glass,4.401451449592472e-07,6.163240225598914e-07,1e-08,mackey_glass__seed43,0.037037037037037
ESN,43,100,0.9,0.1,1.0,narma10,0.1367964453601346,0.1844185589719142,0.01,narma10__seed43,0.037037037037037
ESN,43,100,0.9,0.1,1.0,lorenz,5.21114192981969e-08,3.572586273517316e-08,1e-08,lorenz__seed43,0.2592592592592592
ESN,43,100,0.9,0.1,1.0,sunspots_annual,0.1940864684771419,0.1494517518507524,1.0,sunspots_annual__seed43,0.3703703703703703
ESN,43,100,0.9,0.5,0.3,mackey_glass,9.904321267086358e-05,1.2203299602482177e-05,1e-08,mackey_glass__seed43,0.8148148148148148
ESN,43,100,0.9,0.5,0.3,narma10,0.3579256658780587,0.2867092964523021,0.01,narma10__seed43,0.5185185185185185
ESN,43,100,0.9,0.5,0.3,lorenz,6.332053787957152e-06,1.55840920832484e-05,1e-08,lorenz__seed43,0.5925925925925926
ESN,43,100,0.9,0.5,0.3,sunspots_annual,0.2414054067471784,0.3031417415967077,0.1,sunspots_annual__seed43,0.7777777777777778
ESN,43,100,0.9,0.5,0.7,mackey_glass,4.6474049932680906e-06,3.0666963812250902e-06,1e-07,mackey_glass__seed43,0.2592592592592592
ESN,43,100,0.9,0.5,0.7,narma10,0.3091124949991238,0.2435187062971761,0.1,narma10__seed43,0.3333333333333333
ESN,43,100,0.9,0.5,0.7,lorenz,8.07436037198603e-08,9.944390181518641e-08,1e-08,lorenz__seed43,0.4074074074074074
ESN,43,100,0.9,0.5,0.7,sunspots_annual,0.1894016287202628,0.1601329118888584,1.0,sunspots_annual__seed43,0.1851851851851851
