config,task,seed,beta_pi,lambda_pi,gamma,mixer,input_mode,features,val_nmse,test_nmse,alpha
rxzzrx_u_b005_l050_g12,mackey_glass,50,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0018166497402843,0.0017849720283326,1e-08
rxzzrx_u_b005_l050_g12,narma10,50,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.3014444838054163,0.2497785990835776,1e-08
rxzzrx_u_b005_l050_g12,lorenz,50,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0023946858340413,0.002631116494694,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,50,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.1739712418944095,0.1571131062939179,1e-07
rxzzrx_u_b005_l050_g12,mackey_glass,51,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0003329876557992,0.0004251142395526,1e-08
rxzzrx_u_b005_l050_g12,narma10,51,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2106321275401185,0.2326704089956644,1e-08
rxzzrx_u_b005_l050_g12,lorenz,51,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0003781898908094,0.0003562253848273,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,51,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2044388483189708,0.1721185497011876,1e-06
rxzzrx_u_b005_l050_g08,mackey_glass,42,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0007985166118679,0.0009477080781094,1e-08
rxzzrx_u_b005_l050_g08,narma10,42,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2076401776933019,0.2101432005125104,1e-08
rxzzrx_u_b005_l050_g08,lorenz,42,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0016802708058191,0.0019052785422498,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,42,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2141436631529574,0.1658916178927695,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,43,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0007432853030286,0.0008477347305198,1e-08
rxzzrx_u_b005_l050_g08,narma10,43,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1710567047174204,0.194651879082953,1e-08
rxzzrx_u_b005_l050_g08,lorenz,43,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0008149036839542,0.0008933326094654,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,43,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1940270480377629,0.1985392712272403,1e-07
rxzzrx_u_b005_l050_g08,mackey_glass,44,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.001564577104758,0.0019534006330698,1e-08
rxzzrx_u_b005_l050_g08,narma10,44,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2293197067438568,0.2242393795460184,1e-08
rxzzrx_u_b005_l050_g08,lorenz,44,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.001267361028404,0.0014014724932849,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,44,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1873548416395183,0.2751878516479593,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,45,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.000741804238081,0.0007390053005264,1e-08
rxzzrx_u_b005_l050_g08,narma10,45,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2357406956169085,0.2464909266945921,1e-08
rxzzrx_u_b005_l050_g08,lorenz,45,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0006253530308505,0.0007934265744262,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,45,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2122854452532704,0.2073522816118706,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,46,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0003151704728838,0.0004478925183331,1e-08
rxzzrx_u_b005_l050_g08,narma10,46,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1831985018710314,0.1543794666498118,1e-08
rxzzrx_u_b005_l050_g08,lorenz,46,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0004122863712675,0.0005377553064571,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,46,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1986773410314111,0.2329300112598148,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,47,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.000186114940776,0.0001858456138373,1e-08
rxzzrx_u_b005_l050_g08,narma10,47,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1713937055097409,0.1753012558344066,1e-08
rxzzrx_u_b005_l050_g08,lorenz,47,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0002247669568718,0.0002585382579522,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,47,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2430809371455083,0.2164681862842711,1e-06
rxzzrx_u_b005_l050_g08,mackey_glass,48,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0001388509026045,0.0001952537538517,1e-08
rxzzrx_u_b005_l050_g08,narma10,48,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2583086517549435,0.200517893356915,1e-07
rxzzrx_u_b005_l050_g08,lorenz,48,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0002758007313683,0.0003066692863683,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,48,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2256148828231639,0.1857824323644046,1e-07
rxzzrx_u_b005_l050_g08,mackey_glass,49,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0002704990050586,0.0004605981145197,1e-08
rxzzrx_u_b005_l050_g08,narma10,49,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1794846564895565,0.2417624434252389,1e-08
rxzzrx_u_b005_l050_g08,lorenz,49,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0002707375342323,0.0004289817600612,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,49,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.623116250775436,0.4350264969498998,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,50,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0014406544055671,0.0018153361483931,1e-08
rxzzrx_u_b005_l050_g08,narma10,50,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2552388340393717,0.2309894644971093,1e-08
rxzzrx_u_b005_l050_g08,lorenz,50,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0021669115156764,0.0027576761113417,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,50,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.1969458895619901,0.1824730281043268,1e-08
rxzzrx_u_b005_l050_g08,mackey_glass,51,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0005132581561196,0.000612406105585,1e-08
rxzzrx_u_b005_l050_g08,narma10,51,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.214859169244131,0.2048171710152303,1e-08
rxzzrx_u_b005_l050_g08,lorenz,51,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.0004233131468589,0.000350227094769,1e-08
rxzzrx_u_b005_l050_g08,sunspots_annual,51,0.005,0.05,0.08,rx_zz_rx,uniform,16,0.2367648061205143,0.146467905811181,1e-07
rxzzrx_u_b010_l050_g16,mackey_glass,42,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0001132260184539,0.0001115786584576,1e-08
rxzzrx_u_b010_l050_g16,narma10,42,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.245006135387264,0.2480486876180237,1e-08
rxzzrx_u_b010_l050_g16,lorenz,42,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0001416890230832,0.0001619543566788,1e-08
rxzzrx_u_b010_l050_g16,sunspots_annual,42,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.212465636244283,0.1634894327270161,1e-06
rxzzrx_u_b010_l050_g16,mackey_glass,43,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0001922889344129,0.0002193086592882,1e-08
rxzzrx_u_b010_l050_g16,narma10,43,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.3283316546015834,0.333640415907263,1e-08
rxzzrx_u_b010_l050_g16,lorenz,43,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0001777920891798,0.0002605839721623,1e-08
rxzzrx_u_b010_l050_g16,sunspots_annual,43,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.2139964383434893,0.2260408155431563,1e-05
rxzzrx_u_b010_l050_g16,mackey_glass,44,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0007967976458281,0.0008731168461087,1e-08
rxzzrx_u_b010_l050_g16,narma10,44,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.2638756704681948,0.3136163670137616,1e-08
rxzzrx_u_b010_l050_g16,lorenz,44,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0008550988534743,0.0011556780852345,1e-08
rxzzrx_u_b010_l050_g16,sunspots_annual,44,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.2218280256243155,0.1915229106852971,1e-06
rxzzrx_u_b010_l050_g16,mackey_glass,45,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0003555670064498,0.0003713371454813,1e-08
rxzzrx_u_b010_l050_g16,narma10,45,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.3457578672116386,0.3813207672974861,1e-08
rxzzrx_u_b010_l050_g16,lorenz,45,0.01,0.05,0.16,rx_zz_rx,uniform,16,0.0004291072284407,0.0005384053480558,1e-08
