arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile,model,family,sr,input_scale,leak,replicate,val_rank_pct
,sunspots_annual,45,,,,100,0.1966606986162566,0.1444386582133378,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed45,0.5185185185185185
,mackey_glass,46,,,,100,6.880267247696917e-07,9.539559762806037e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed46,0.037037037037037
,narma10,46,,,,100,0.1621234230521668,0.2722456738433708,0.0001,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed46,0.037037037037037
,lorenz,46,,,,100,6.849027661148925e-09,7.048761627218914e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed46,0.074074074074074
,sunspots_annual,46,,,,100,0.1966197572390142,0.1427256659734943,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed46,0.3703703703703703
,mackey_glass,47,,,,100,6.139123918892985e-07,8.374784608554573e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed47,0.037037037037037
,narma10,47,,,,100,0.1391734535191575,0.2133149488803528,0.001,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed47,0.037037037037037
,lorenz,47,,,,100,9.82342191312142e-09,7.346694766605928e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed47,0.1481481481481481
,sunspots_annual,47,,,,100,0.21070308581805,0.149543495976237,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed47,0.5925925925925926
,mackey_glass,48,,,,100,7.922422936446102e-07,9.518922137597154e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed48,0.037037037037037
,narma10,48,,,,100,0.1461123358239034,0.2288583606327073,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed48,0.037037037037037
,lorenz,48,,,,100,3.803658198106539e-09,3.3523394801195e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed48,0.074074074074074
