variant,task,seed,readout,beta_pi,lambda_pi,gamma,effective_gamma,nominal_gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
base_amplitude_rxzz,sunspots_annual,54,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0021733605596386,1.0148680546068156,1e-05
base_amplitude_rxzz,lorenz,55,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,55,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,55,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,55,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.002838078283308,1.0132299517263754,1e-08
base_amplitude_rxzz,lorenz,56,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811026,1.0026944750194429,1e-08
base_amplitude_rxzz,mackey_glass,56,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
base_amplitude_rxzz,narma10,56,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713803,1e-08
base_amplitude_rxzz,sunspots_annual,56,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0022108273998311,1.0147668551232074,1e-06
base_amplitude_rxzz,lorenz,57,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,57,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,57,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,57,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.001921771078467,1.015581058603382,1e-06
base_amplitude_rxzz,lorenz,58,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,58,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,58,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,58,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0036897002642535,1.0115050810901831,1e-08
base_amplitude_rxzz,lorenz,59,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
