arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.005,0.05,0.08,96,0.15293158697593384,0.17649284347865296,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,49,0.005,0.05,0.08,96,7.691378906406969e-05,3.7895877534422185e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,49,0.005,0.05,0.08,96,5.0583146899731115e-05,6.091269054707478e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,49,0.005,0.05,0.08,96,0.13093980426255813,0.1480387237007516,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.005,0.05,0.08,96,0.14129124728972256,0.19715622378121095,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,50,0.005,0.05,0.08,96,0.0002740568023417559,0.00018898902632118178,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,50,0.005,0.05,0.08,96,0.00015240321350874767,0.000175194027755669,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,50,0.005,0.05,0.08,96,0.17400165083725952,0.189780600262335,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.005,0.05,0.08,96,0.14356139649283609,0.18309958659002357,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,51,0.005,0.05,0.08,96,6.0787254834795246e-05,4.392393963869996e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,51,0.005,0.05,0.08,96,3.9242517485026355e-05,4.720795662329608e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,51,0.005,0.05,0.08,96,0.12468117246383191,0.1300601332726578,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.005,0.05,0.08,96,0.1445322552582526,0.17953514010060168,1e-05,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.005,0.05,0.12,96,0.00018682361879783383,0.00010412078147771851,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.005,0.05,0.12,96,9.72710563417649e-05,0.0001157138935587506,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.005,0.05,0.12,96,0.1448287418668968,0.1657732762070525,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.005,0.05,0.12,96,0.153037783131537,0.19381562283018042,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.005,0.05,0.12,96,0.00014081000328544657,7.460656030805742e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.005,0.05,0.12,96,0.00010984066623761434,0.0001302521905763426,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.005,0.05,0.12,96,0.14585925144593098,0.15374349884802477,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.005,0.05,0.12,96,0.14276185201760458,0.167662113968106,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.005,0.05,0.12,96,0.00015019487015142688,0.0001136308271363388,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.005,0.05,0.12,96,0.00014390852994350004,0.0001697779111551474,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,44,0.005,0.05,0.12,96,0.1438721612942683,0.15568950175448526,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.005,0.05,0.12,96,0.14923300294541866,0.19470508680217566,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,45,0.005,0.05,0.12,96,0.00016667084719333263,9.802240386844238e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,45,0.005,0.05,0.12,96,0.00012911139211116665,0.00015287866054938912,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,45,0.005,0.05,0.12,96,0.1427937168341794,0.15541862084300237,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.005,0.05,0.12,96,0.14583569359813392,0.17803740818095187,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,46,0.005,0.05,0.12,96,7.028290128830717e-05,4.990819912935657e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,46,0.005,0.05,0.12,96,7.629081292111557e-05,9.212076307634429e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,46,0.005,0.05,0.12,96,0.14354413040146563,0.16075861196129762,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.005,0.05,0.12,96,0.1490445748602848,0.18640667321959126,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,47,0.005,0.05,0.12,96,2.6190320234475624e-05,1.525452418284832e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,47,0.005,0.05,0.12,96,1.8597553293378594e-05,2.1806983323855902e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,47,0.005,0.05,0.12,96,0.12521929122794956,0.14178497783608424,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
