seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples,mean_val_rank,mean_val_nmse,mean_test_nmse
42,0.0,0.42,0.12,0.0,0.0,0.0,0.0,5.094746580200924e-15,0.0,16,750,0.8540816326530611,1.3066244396458995,1.0120711935713531
42,0.0,0.42,0.22,0.0,0.0,0.0,0.0,5.645187474927463e-15,0.0,16,750,0.8545918367346939,1.3072206939753255,1.0108329349609881
42,0.0,0.42,0.3,0.0,0.0,0.0,0.0,1.8404070914636115e-15,0.0,16,750,0.8744897959183673,1.3073817273708563,1.0105939393748566
42,0.02,0.0,0.0,0.02551657662465956,0.07443665668913946,0.0055057385927353986,0.07994239528187486,0.5442937944141761,12.59376297152621,16,750,0.8561224489795919,1.306189754039151,1.010274616151299
42,0.02,0.0,0.05,0.0,0.0,0.23257172423935402,0.23257172423935402,7.084483673938404e-05,6.071532397240158,16,750,0.7346938775510203,1.0854762407628267,0.8759555118594968
42,0.02,0.0,0.12,0.0,0.0,0.7053720044756152,0.7053720044756152,8.16044809778337e-05,4.632058209718149,16,750,0.7357142857142858,1.2113900676510494,0.9613857208581056
42,0.02,0.0,0.22,0.0,0.0,1.7458007772417288,1.7458007772417288,8.378703378101815e-05,3.1480530289698985,16,750,0.7448979591836735,1.25536005356123,0.9876149665935985
42,0.02,0.0,0.3,0.0,0.002514163531164404,2.5882824743442496,2.590796637875414,8.148995368541968e-05,2.4662963511938103,16,750,0.7602040816326531,1.265939801696964,0.9933383925965518
42,0.02,0.05,0.0,0.0,0.0,0.024113555944486942,0.024113555944486942,0.3794503831996381,11.564724497887964,16,750,0.9040816326530612,1.3097714963628009,1.0124248002514142
42,0.02,0.05,0.05,8.471912470652684,12.04631038058847,0.05700407377854644,12.103314454367016,0.0005899855636760178,4.804776271363051,16,750,0.37448979591836734,0.23612393296382517,0.24175984278184282
42,0.02,0.05,0.12,9.23784339562544,11.027129126749323,0.6387647565078731,11.665893883257196,0.0008952905061849061,3.718026020500884,16,750,0.20918367346938777,0.12217715016420332,0.14218146515263308
42,0.02,0.05,0.22,8.529996068216755,8.645259796171018,1.8087916380255744,10.454051434196593,0.0011579022654952642,2.770371925750278,16,750,0.27448979591836736,0.15992133002378134,0.1834971358290999
42,0.02,0.05,0.3,7.45424325763889,7.454243257633646,2.2313717928016925,9.685615050435338,0.0012901624902426183,2.375337432940537,16,750,0.27142857142857146,0.19020894322010123,0.2017680214097394
42,0.02,0.1,0.0,0.0,0.0,0.046730064546318006,0.046730064546318006,0.2665250909437776,8.302514661783018,16,750,0.7061224489795919,1.2258114744042128,0.9296841639379969
42,0.02,0.1,0.05,8.881878672402781,12.510895752014267,0.09039224339668717,12.601287995410955,0.0007782583962956344,4.976157676249502,16,750,0.2795918367346939,0.09256735228612582,0.1018097931711919
42,0.02,0.1,0.12,9.439931879603218,10.496974847012549,0.9572742330474314,11.45424908005998,0.0011729764181876816,3.37683589232746,16,750,0.12040816326530612,0.10757231135136355,0.12974361640614848
42,0.02,0.1,0.22,7.852301429718397,7.852301429714046,2.704021901785822,10.556323331499868,0.0015110546031761646,2.5047877259115783,16,750,0.20714285714285713,0.18107925075137954,0.19903228243955082
42,0.02,0.1,0.3,6.295732492371303,6.295732492365374,3.179686784416124,9.475419276781498,0.0016431359664876594,2.214958288602907,16,750,0.24387755102040815,0.19757501079132483,0.21001068506817966
42,0.02,0.12,0.0,0.006638604166295914,0.006638604164204365,0.00587330537482833,0.012511909539032695,0.2925926542367118,9.125634225580102,16,750,0.7275510204081632,1.2301472258816997,0.8850655026181025
42,0.02,0.12,0.05,9.176478668975092,12.870910955992013,0.10454805627427144,12.975459012266285,0.0007531541724967838,5.331540640022615,16,750,0.1683673469387755,0.08336485466923751,0.09969621068701667
42,0.02,0.12,0.12,9.152477125405783,10.174523312809617,1.334758986740392,11.509282299550009,0.0011751634940111028,3.2813900736848853,16,750,0.12040816326530612,0.1161980232134987,0.13428501331001538
42,0.02,0.12,0.22,7.33712445940153,7.337124459395513,3.2624531333749447,10.599577592770459,0.0014913677219786916,2.388718019335079,16,750,0.22040816326530613,0.19077142197039282,0.20542553991027557
42,0.02,0.12,0.3,6.146616430148322,6.146616430144134,3.308625008657149,9.455241438801284,0.001583982543047644,2.147375196391613,16,750,0.2387755102040816,0.1963500658478063,0.2089877324551685
42,0.02,0.16,0.0,0.0,0.0,0.0031821039316776156,0.0031821039316776156,0.24699577622196206,10.875792847574038,16,750,0.753061224489796,1.2879117435262426,1.016471607229189
42,0.02,0.16,0.05,9.210935724710398,11.511165228730324,0.606465402091837,12.11763063082216,0.0007568740220428834,4.757994057754698,16,750,0.29183673469387755,0.09843876353114465,0.11209785927417376
42,0.02,0.16,0.12,8.466307672130704,8.6934697777787,2.2354586647640478,10.928928442542748,0.001162560248852455,2.8801361362300115,16,750,0.17755102040816328,0.13209495625972711,0.15075880007390113
42,0.02,0.16,0.22,6.751994347578943,6.751994347572445,3.2882216297146427,10.040215977287088,0.001308789248916265,2.1914594799846268,16,750,0.2571428571428571,0.1921628772288002,0.20746881155052627
42,0.02,0.16,0.3,5.460655074874952,5.4629554820316555,3.1637315078279156,8.626686989859571,0.0012546113287735673,2.0307797635882925,16,750,0.31326530612244896,0.19815155115089844,0.20785793384935808
42,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.2647385970688457,9.599756673203169,16,750,0.8877551020408163,1.1501918152281048,1.0191251711258094
42,0.02,0.28,0.05,8.22284984662922,11.154242220099098,0.744030061638263,11.898272281737361,0.0016890331515118674,2.6154108826985003,16,750,0.21020408163265306,0.08999168291399812,0.1096179675066484
42,0.02,0.28,0.12,8.061776460268655,8.273233653353435,2.3979723583252324,10.671206011678667,0.001529292644071247,2.219070886486189,16,750,0.12346938775510204,0.14730380446918792,0.1768199277650337
42,0.02,0.28,0.22,6.0220406310849794,6.02204063107637,4.054569173076018,10.076609804152389,0.0009058960859623026,2.0933775645024295,16,750,0.2357142857142857,0.18990668203589572,0.2048170855524059
42,0.02,0.28,0.3,4.87765292127947,4.8776529212707755,3.556411790373861,8.434064711644636,0.0006427253916724016,1.9901120837865185,16,750,0.29387755102040813,0.19715849936567242,0.20755900942825725
42,0.02,0.42,0.0,0.0,0.0025220102135167233,0.0,0.0025220102135167233,0.25062193079504425,11.86632789711926,16,750,0.8153061224489796,1.2949721138441388,1.0108349920117121
42,0.02,0.42,0.05,8.595908423816049,12.368173430106154,0.0,12.368173430106154,0.0007716225744002526,4.796558942206941,16,750,0.2612244897959184,0.10400351359364901,0.11143663734396878
42,0.02,0.42,0.12,9.09627644135919,10.991371940433527,0.3479189095658901,11.339290849999418,0.0011331345336057681,3.527193166743468,16,750,0.11836734693877551,0.10089004695797904,0.11304442134600842
42,0.02,0.42,0.22,7.838666868670113,8.13452726616133,1.8430541319107987,9.977581398072129,0.0014613697900398342,2.6255176156032087,16,750,0.2020408163265306,0.15868108444072124,0.17683904022621255
42,0.02,0.42,0.3,6.841833135728233,6.841833135723884,2.5690088175611994,9.410841953285082,0.0016088736684376989,2.284217231960041,16,750,0.1979591836734694,0.18865880260341916,0.2049163807277446
42,0.04,0.0,0.0,0.02939513240740399,0.07154294242435744,0.007204840686769409,0.07874778311112685,0.4986184392667209,12.215731525886689,16,750,0.7897959183673469,1.3055065564585058,1.0113804968273439
