bootstrap,band_size,loto_mean_band_rank,loto_mean_rep_rank
154,4,0.2579227736549165,0.2301020408163265
155,4,0.2353775146422205,0.2535714285714285
156,3,0.250588192419825,0.2355102040816326
157,1,0.2732707173778602,0.2780612244897959
158,8,0.2306553692905733,0.2474489795918367
159,6,0.2394869246399859,0.3021428571428571
160,3,0.2553048469387755,0.2631632653061224
161,6,0.2325297619047619,0.2085714285714285
162,5,0.2433286951144093,0.2948979591836734
163,5,0.2385786237571951,0.2253061224489796
164,5,0.2493589743589743,0.23
165,5,0.2288647959183673,0.2311224489795918
166,4,0.2551384329955758,0.2809183673469387
167,6,0.2352113842789863,0.2691836734693877
168,6,0.2484402260904361,0.2689795918367347
169,4,0.2429772467993408,0.2475510204081633
170,4,0.235224547337732,0.2309183673469387
171,5,0.2263259637188208,0.2287755102040816
172,4,0.2320770975056689,0.2385714285714285
173,4,0.2522300114851135,0.2581632653061224
174,5,0.2213779665712438,0.2337755102040816
175,2,0.2634632034632035,0.2711224489795918
176,4,0.2388180272108843,0.2556122448979592
177,8,0.2339913751214771,0.2945918367346938
178,4,0.2441571342822843,0.1928571428571428
179,7,0.2150267924630169,0.2266326530612245
180,6,0.2273159620991253,0.2166326530612245
181,5,0.22605557028006,0.2056122448979591
182,6,0.23328231292517,0.2593877551020408
183,4,0.2357560296846011,0.2460204081632653
184,5,0.2284994331065759,0.2564285714285714
185,6,0.2291541950113378,0.2319387755102041
186,4,0.2356874613481756,0.255
187,4,0.2458538832199546,0.2592857142857143
188,5,0.2277803264162808,0.2166326530612245
189,6,0.2299866375121477,0.2254081632653061
190,6,0.2466505709426628,0.3111224489795918
191,5,0.2211454081632653,0.206734693877551
192,2,0.2411647230320699,0.2622448979591837
193,2,0.2453126635269492,0.2661224489795918
194,4,0.2386657390228819,0.213469387755102
195,4,0.2403843537414965,0.2561224489795918
196,6,0.228176241275731,0.2066326530612244
197,7,0.2279582866113478,0.2365306122448979
198,9,0.2230460472067615,0.2489795918367347
199,5,0.2406678814382896,0.2766326530612245
200,8,0.2346793376691336,0.2944897959183674
201,4,0.2540767735665695,0.2705102040816327
202,8,0.2193964609653385,0.2564285714285714
203,6,0.2347819165260088,0.2428571428571428
204,8,0.2225457195865359,0.1965306122448979
205,4,0.2342091468622081,0.2256122448979591
206,9,0.2115132741408251,0.2043877551020408
207,6,0.2245683106575964,0.2296938775510204
208,6,0.2239549319727891,0.2633673469387755
209,5,0.2295826044703595,0.2359183673469387
210,5,0.2256603114930182,0.2692857142857142
211,4,0.253694120505345,0.258469387755102
212,9,0.2267128279883382,0.2283673469387754
213,4,0.2388860544217687,0.2320408163265306
214,4,0.2409737609329446,0.2141836734693877
215,4,0.2544940476190476,0.2668367346938776
216,9,0.2404699828649408,0.2372448979591836
217,7,0.2197793532997614,0.2123469387755102
218,8,0.2303325774754346,0.2249999999999999
219,5,0.2285494092373791,0.253673469387755
220,5,0.2385992063492063,0.2161224489795918
221,7,0.2267727743271221,0.256530612244898
222,9,0.2243027210884353,0.2276530612244898
223,3,0.2542400388726919,0.2697959183673469
224,5,0.2319832169709989,0.261530612244898
225,5,0.2282551020408163,0.2466326530612244
226,8,0.2145889258134156,0.2306122448979591
227,4,0.2501269988514886,0.2705102040816327
228,6,0.2463960155490767,0.2843877551020408
229,7,0.2166972016079159,0.2179591836734694
