arch,task,seed,beta_pi,lambda_pi,gamma,features,qrc_val_nmse,qrc_test_nmse,qrc_alpha,n,layers,topology,mixer,input_mode,channel,task_profile,esn_val_nmse,esn_test_nmse,esn_alpha,sr,input_scale,leak,units,delta_esn_minus_qrc,qrc_wins,qrc_selected_short,esn100_selected_short
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,46,0.02,0.125,0.08,96,0.1224463472229507,0.1300626708815938,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1621234230521668,0.2722456738433708,0.0001,0.9,0.1,1.0,100,0.142183002961777,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,47,0.02,0.125,0.08,96,0.1163262484832492,0.1055626833638657,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1391734535191575,0.2133149488803528,0.001,0.9,0.1,1.0,100,0.10775226551648709,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,48,0.02,0.125,0.08,96,0.1211316206032942,0.1438125897423459,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1461123358239034,0.2288583606327073,0.01,0.9,0.1,1.0,100,0.08504577089036139,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,49,0.02,0.125,0.08,96,0.1017428658657523,0.0992038908114672,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1364522511826437,0.1879287883910073,0.001,0.9,0.1,1.0,100,0.0887248975795401,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,50,0.02,0.125,0.08,96,0.1122061324621721,0.0996844465821731,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1421003249321535,0.2282445757220796,0.01,0.9,0.1,1.0,100,0.1285601291399065,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,51,0.02,0.125,0.08,96,0.1260213504190685,0.1356222065710179,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1444237679759459,0.1971104201711357,0.01,0.9,0.1,1.0,100,0.0614882136001178,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.01,0.035,0.1,96,0.1466243919975853,0.1910730213122658,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1686604468126924,0.1957376375595077,1e-06,0.5,0.1,0.3,100,0.004664616247241904,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.01,0.035,0.1,96,0.1482338021172349,0.1747575621318593,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.179991183873154,0.2110327847953464,0.001,0.5,0.1,0.3,100,0.036275222663487094,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.01,0.035,0.1,96,0.1411175672739214,0.1844884588151193,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.177791510892903,0.1890964605039991,0.001,0.5,0.1,0.3,100,0.004608001688879787,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.01,0.035,0.1,96,0.1404361102261961,0.1763380110444421,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1751034809166797,0.1649540853814619,1e-05,0.5,0.1,0.3,100,-0.011383925662980215,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.01,0.035,0.1,96,0.1435810657380352,0.19147016459393,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1749414297588042,0.1788345443954782,1e-05,0.5,0.1,0.3,100,-0.012635620198451797,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.01,0.035,0.1,96,0.1544294993091092,0.1950056600944553,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.173839701064623,0.1945389819348635,0.001,0.5,0.1,0.3,100,-0.00046667815959181014,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.01,0.035,0.1,96,0.1437425194988969,0.1767008875584149,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1623930323067217,0.3324588851964317,1e-08,0.5,0.1,0.3,100,0.1557579976380168,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.01,0.035,0.1,96,0.1461085216350312,0.1919537203800597,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1768145600027052,0.2011714018881659,0.001,0.5,0.1,0.3,100,0.009217681508106201,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.01,0.035,0.1,96,0.1435270482137017,0.1847182212225246,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1718468328766172,0.1812282472056572,1e-06,0.5,0.1,0.3,100,-0.003489974016867403,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.01,0.035,0.1,96,0.1440565574199956,0.1809994762945284,1e-05,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1725465423919316,0.2131475479163453,1e-06,0.5,0.1,0.3,100,0.032148071621816904,True,0.010/0.035/0.100,0.5/0.1/0.3
