family,seed,beta_pi,lambda_pi,gamma,MC
QRC,42,0.22,0.1,0.3,3.7410875508059527
QRC,42,0.22,0.12,0.0,0.0
QRC,42,0.22,0.12,0.05,4.26697132910115
QRC,42,0.22,0.12,0.12,4.360749214970803
QRC,42,0.22,0.12,0.22,3.952410827023346
QRC,42,0.22,0.12,0.3,3.68197953768874
QRC,42,0.22,0.16,0.0,0.0
QRC,42,0.22,0.16,0.05,3.564638208240235
QRC,42,0.22,0.16,0.12,3.777731880113474
QRC,42,0.22,0.16,0.22,3.427036141902148
QRC,42,0.22,0.16,0.3,3.2218761191428857
QRC,42,0.22,0.28,0.0,0.0
QRC,42,0.22,0.28,0.05,3.044705319577095
QRC,42,0.22,0.28,0.12,3.215515072953319
QRC,42,0.22,0.28,0.22,3.150826562324669
QRC,42,0.22,0.28,0.3,2.897318736917935
QRC,42,0.22,0.42,0.0,0.0076380799191833
QRC,42,0.22,0.42,0.05,3.314523889589863
QRC,42,0.22,0.42,0.12,4.056016824706629
QRC,42,0.22,0.42,0.22,3.891717214300271
QRC,42,0.22,0.42,0.3,3.739193750888349
QRC,42,0.5,0.0,0.0,0.0
QRC,42,0.5,0.0,0.05,0.0
QRC,42,0.5,0.0,0.12,0.0
QRC,42,0.5,0.0,0.22,0.0
QRC,42,0.5,0.0,0.3,0.0
QRC,42,0.5,0.05,0.0,0.0017679679894913
QRC,42,0.5,0.05,0.05,0.8599914654370109
QRC,42,0.5,0.05,0.12,1.0998123931094588
QRC,42,0.5,0.05,0.22,1.2673527421067043
QRC,42,0.5,0.05,0.3,1.4690073551524472
QRC,42,0.5,0.1,0.0,0.0
QRC,42,0.5,0.1,0.05,0.8737319254262153
QRC,42,0.5,0.1,0.12,1.1118546511241394
QRC,42,0.5,0.1,0.22,1.3516158567389502
QRC,42,0.5,0.1,0.3,1.589635369615824
QRC,42,0.5,0.12,0.0,0.0
QRC,42,0.5,0.12,0.05,0.8010660963830551
QRC,42,0.5,0.12,0.12,1.1017341161930587
QRC,42,0.5,0.12,0.22,1.3939116746353382
QRC,42,0.5,0.12,0.3,1.5914391246954334
QRC,42,0.5,0.16,0.0,0.0
QRC,42,0.5,0.16,0.05,0.6953133965293726
QRC,42,0.5,0.16,0.12,1.056178159295382
QRC,42,0.5,0.16,0.22,1.193835999379516
QRC,42,0.5,0.16,0.3,1.309947779721199
QRC,42,0.5,0.28,0.0,0.0003555718941214
QRC,42,0.5,0.28,0.05,0.6688643673456792
QRC,42,0.5,0.28,0.12,1.0759545022073993
QRC,42,0.5,0.28,0.22,1.3763041461085193
QRC,42,0.5,0.28,0.3,1.5037986599255555
QRC,42,0.5,0.42,0.0,0.0
QRC,42,0.5,0.42,0.05,0.9287516985672936
QRC,42,0.5,0.42,0.12,1.1830052642661322
QRC,42,0.5,0.42,0.22,1.3558826969936644
QRC,42,0.5,0.42,0.3,1.5568993873016583
QRC,43,0.0,0.0,0.0,0.0
QRC,43,0.0,0.0,0.05,0.0
QRC,43,0.0,0.0,0.12,0.0
QRC,43,0.0,0.0,0.22,0.0
QRC,43,0.0,0.0,0.3,0.0
QRC,43,0.0,0.05,0.0,0.0
QRC,43,0.0,0.05,0.05,0.0
QRC,43,0.0,0.05,0.12,0.0
QRC,43,0.0,0.05,0.22,0.0
QRC,43,0.0,0.05,0.3,0.0
QRC,43,0.0,0.1,0.0,0.0
QRC,43,0.0,0.1,0.05,0.0
QRC,43,0.0,0.1,0.12,0.0
QRC,43,0.0,0.1,0.22,0.0
QRC,43,0.0,0.1,0.3,0.0
QRC,43,0.0,0.12,0.0,0.0
QRC,43,0.0,0.12,0.05,0.0
QRC,43,0.0,0.12,0.12,0.0
QRC,43,0.0,0.12,0.22,0.0
QRC,43,0.0,0.12,0.3,0.0
QRC,43,0.0,0.16,0.0,0.0
QRC,43,0.0,0.16,0.05,0.0
QRC,43,0.0,0.16,0.12,0.0
QRC,43,0.0,0.16,0.22,0.0
QRC,43,0.0,0.16,0.3,0.0
QRC,43,0.0,0.28,0.0,0.0
QRC,43,0.0,0.28,0.05,0.0
QRC,43,0.0,0.28,0.12,0.0
QRC,43,0.0,0.28,0.22,0.0
QRC,43,0.0,0.28,0.3,0.0
QRC,43,0.0,0.42,0.0,0.0
QRC,43,0.0,0.42,0.05,0.0
QRC,43,0.0,0.42,0.12,0.0
QRC,43,0.0,0.42,0.22,0.0
QRC,43,0.0,0.42,0.3,0.0
QRC,43,0.02,0.0,0.0,0.0
QRC,43,0.02,0.0,0.05,0.0
QRC,43,0.02,0.0,0.12,0.0
QRC,43,0.02,0.0,0.22,0.0
QRC,43,0.02,0.0,0.3,0.0
QRC,43,0.02,0.05,0.0,0.0
