family,seed,beta_pi,lambda_pi,gamma,MC
QRC,46,0.1,0.1,0.22,5.002125851581447
QRC,46,0.1,0.1,0.3,4.494011954932763
QRC,46,0.1,0.12,0.0,0.0
QRC,46,0.1,0.12,0.05,6.27255157846918
QRC,46,0.1,0.12,0.12,6.485376312682714
QRC,46,0.1,0.12,0.22,5.401028748954481
QRC,46,0.1,0.12,0.3,4.77667783886507
QRC,46,0.1,0.16,0.0,0.0
QRC,46,0.1,0.16,0.05,6.366498559691257
QRC,46,0.1,0.16,0.12,5.464953825812561
QRC,46,0.1,0.16,0.22,4.939520500985179
QRC,46,0.1,0.16,0.3,4.365284603718051
QRC,46,0.1,0.28,0.0,0.0
QRC,46,0.1,0.28,0.05,5.036232937791358
QRC,46,0.1,0.28,0.12,5.107080043642762
QRC,46,0.1,0.28,0.22,4.436521043700294
QRC,46,0.1,0.28,0.3,3.765280581026291
QRC,46,0.1,0.42,0.0,0.0
QRC,46,0.1,0.42,0.05,6.530691565088123
QRC,46,0.1,0.42,0.12,6.325795354389289
QRC,46,0.1,0.42,0.22,5.3180033170952905
QRC,46,0.1,0.42,0.3,4.643512586047791
QRC,46,0.22,0.0,0.0,0.0
QRC,46,0.22,0.0,0.05,0.0
QRC,46,0.22,0.0,0.12,0.0
QRC,46,0.22,0.0,0.22,0.0
QRC,46,0.22,0.0,0.3,0.0
QRC,46,0.22,0.05,0.0,0.0
QRC,46,0.22,0.05,0.05,3.560992953819659
QRC,46,0.22,0.05,0.12,3.852841714456062
QRC,46,0.22,0.05,0.22,3.416322743501523
QRC,46,0.22,0.05,0.3,2.9187048095812544
QRC,46,0.22,0.1,0.0,0.0
QRC,46,0.22,0.1,0.05,3.77162970214344
QRC,46,0.22,0.1,0.12,3.933143536833871
QRC,46,0.22,0.1,0.22,3.4623936939733566
QRC,46,0.22,0.1,0.3,3.353877706310632
QRC,46,0.22,0.12,0.0,0.0
QRC,46,0.22,0.12,0.05,3.472360713821011
QRC,46,0.22,0.12,0.12,3.918088363545953
QRC,46,0.22,0.12,0.22,3.4972185821660635
QRC,46,0.22,0.12,0.3,3.2789330486101376
QRC,46,0.22,0.16,0.0,0.0
QRC,46,0.22,0.16,0.05,3.028591805400149
QRC,46,0.22,0.16,0.12,3.1642265893124053
QRC,46,0.22,0.16,0.22,3.2485358279111063
QRC,46,0.22,0.16,0.3,3.1045912822275947
QRC,46,0.22,0.28,0.0,0.0
QRC,46,0.22,0.28,0.05,2.9296614152238027
QRC,46,0.22,0.28,0.12,2.900519025207144
QRC,46,0.22,0.28,0.22,2.819748310408279
QRC,46,0.22,0.28,0.3,2.5766192938364454
QRC,46,0.22,0.42,0.0,0.0019388604953817
QRC,46,0.22,0.42,0.05,3.7324597239196495
QRC,46,0.22,0.42,0.12,3.790399110520759
QRC,46,0.22,0.42,0.22,3.473130072218061
QRC,46,0.22,0.42,0.3,3.1412168324325225
QRC,46,0.5,0.0,0.0,0.0
QRC,46,0.5,0.0,0.05,0.0
QRC,46,0.5,0.0,0.12,0.0
QRC,46,0.5,0.0,0.22,0.0
QRC,46,0.5,0.0,0.3,0.0
QRC,46,0.5,0.05,0.0,0.0
QRC,46,0.5,0.05,0.05,0.8091843260096444
QRC,46,0.5,0.05,0.12,1.2484497897662852
QRC,46,0.5,0.05,0.22,1.4472129531366211
QRC,46,0.5,0.05,0.3,1.4646948117581513
QRC,46,0.5,0.1,0.0,0.0
QRC,46,0.5,0.1,0.05,1.210184048261588
QRC,46,0.5,0.1,0.12,1.4243797225310886
QRC,46,0.5,0.1,0.22,1.3994799758513643
QRC,46,0.5,0.1,0.3,1.3740425047702425
QRC,46,0.5,0.12,0.0,0.0
QRC,46,0.5,0.12,0.05,1.2367011273745925
QRC,46,0.5,0.12,0.12,1.4484546541518264
QRC,46,0.5,0.12,0.22,1.3590834849524165
QRC,46,0.5,0.12,0.3,1.292827772515429
QRC,46,0.5,0.16,0.0,0.0006156213513418
QRC,46,0.5,0.16,0.05,1.1102773615861912
QRC,46,0.5,0.16,0.12,1.3289630042870182
QRC,46,0.5,0.16,0.22,1.3703176931164402
QRC,46,0.5,0.16,0.3,1.327603374361734
QRC,46,0.5,0.28,0.0,0.0
QRC,46,0.5,0.28,0.05,0.6038436574345148
QRC,46,0.5,0.28,0.12,0.9182554526517656
QRC,46,0.5,0.28,0.22,1.1460356716918283
QRC,46,0.5,0.28,0.3,1.2431876123675716
QRC,46,0.5,0.42,0.0,0.0
QRC,46,0.5,0.42,0.05,1.0297715784299566
QRC,46,0.5,0.42,0.12,1.3450499986327311
QRC,46,0.5,0.42,0.22,1.4389143476650896
QRC,46,0.5,0.42,0.3,1.4455711923786383
QRC,47,0.0,0.0,0.0,0.0
QRC,47,0.0,0.0,0.05,0.0
QRC,47,0.0,0.0,0.12,0.0
QRC,47,0.0,0.0,0.22,0.0
QRC,47,0.0,0.0,0.3,0.0
QRC,47,0.0,0.05,0.0,0.0
QRC,47,0.0,0.05,0.05,0.0
QRC,47,0.0,0.05,0.12,0.0
QRC,47,0.0,0.05,0.22,0.0
QRC,47,0.0,0.05,0.3,0.0
QRC,47,0.0,0.1,0.0,0.0143141083503871
QRC,47,0.0,0.1,0.05,0.0
QRC,47,0.0,0.1,0.12,0.0
QRC,47,0.0,0.1,0.22,0.0
QRC,47,0.0,0.1,0.3,0.0
QRC,47,0.0,0.12,0.0,0.0
QRC,47,0.0,0.12,0.05,0.0
QRC,47,0.0,0.12,0.12,0.0
QRC,47,0.0,0.12,0.22,0.0
QRC,47,0.0,0.12,0.3,0.0
QRC,47,0.0,0.16,0.0,0.0
QRC,47,0.0,0.16,0.05,0.0
QRC,47,0.0,0.16,0.12,0.0
QRC,47,0.0,0.16,0.22,0.0
QRC,47,0.0,0.16,0.3,0.0
QRC,47,0.0,0.28,0.0,0.0
QRC,47,0.0,0.28,0.05,0.0
QRC,47,0.0,0.28,0.12,0.0
QRC,47,0.0,0.28,0.22,0.0
QRC,47,0.0,0.28,0.3,0.0
QRC,47,0.0,0.42,0.0,0.0707432257044068
QRC,47,0.0,0.42,0.05,0.0
QRC,47,0.0,0.42,0.12,0.0
QRC,47,0.0,0.42,0.22,0.0
QRC,47,0.0,0.42,0.3,0.0
QRC,47,0.02,0.0,0.0,0.0
QRC,47,0.02,0.0,0.05,0.0
QRC,47,0.02,0.0,0.12,0.0
QRC,47,0.02,0.0,0.22,0.0
QRC,47,0.02,0.0,0.3,0.0
QRC,47,0.02,0.05,0.0,0.0
QRC,47,0.02,0.05,0.05,10.035137415659108
QRC,47,0.02,0.05,0.12,10.25863758690816
QRC,47,0.02,0.05,0.22,7.489402837471612
QRC,47,0.02,0.05,0.3,6.456236003145186
QRC,47,0.02,0.1,0.0,0.0120257396897304
QRC,47,0.02,0.1,0.05,10.735784792314558
QRC,47,0.02,0.1,0.12,9.78856949471924
QRC,47,0.02,0.1,0.22,7.432485771896256
QRC,47,0.02,0.1,0.3,6.102451092402804
QRC,47,0.02,0.12,0.0,0.0
QRC,47,0.02,0.12,0.05,11.734260306123902
QRC,47,0.02,0.12,0.12,9.491987498647328
QRC,47,0.02,0.12,0.22,7.084160417563827
QRC,47,0.02,0.12,0.3,6.027315019246107
QRC,47,0.02,0.16,0.0,0.0
QRC,47,0.02,0.16,0.05,10.933771174061135
QRC,47,0.02,0.16,0.12,9.113973288634003
QRC,47,0.02,0.16,0.22,6.796409906094574
QRC,47,0.02,0.16,0.3,5.7541347423143385
QRC,47,0.02,0.28,0.0,0.0
QRC,47,0.02,0.28,0.05,10.811842909364763
QRC,47,0.02,0.28,0.12,7.893877655678039
QRC,47,0.02,0.28,0.22,6.2436853420032445
QRC,47,0.02,0.28,0.3,4.989721632984912
QRC,47,0.02,0.42,0.0,0.0013533378221693
QRC,47,0.02,0.42,0.05,10.602429744567504
QRC,47,0.02,0.42,0.12,9.754589464632147
QRC,47,0.02,0.42,0.22,7.93728249687461
QRC,47,0.02,0.42,0.3,6.418022107197468
QRC,47,0.04,0.0,0.0,0.0
QRC,47,0.04,0.0,0.05,0.0
QRC,47,0.04,0.0,0.12,0.0
QRC,47,0.04,0.0,0.22,0.0
QRC,47,0.04,0.0,0.3,0.0
QRC,47,0.04,0.05,0.0,0.0
QRC,47,0.04,0.05,0.05,9.073845806706474
QRC,47,0.04,0.05,0.12,8.853018436337535
QRC,47,0.04,0.05,0.22,6.838766438947166
QRC,47,0.04,0.05,0.3,6.363626135974106
QRC,47,0.04,0.1,0.0,0.0
QRC,47,0.04,0.1,0.05,9.143424406875674
QRC,47,0.04,0.1,0.12,8.424284889973919
QRC,47,0.04,0.1,0.22,6.623062278592534
QRC,47,0.04,0.1,0.3,5.826656534711356
QRC,47,0.04,0.12,0.0,0.0118755608803662
QRC,47,0.04,0.12,0.05,9.981765249017458
QRC,47,0.04,0.12,0.12,8.33742775201691
QRC,47,0.04,0.12,0.22,6.451749880736475
QRC,47,0.04,0.12,0.3,5.7695463445166215
QRC,47,0.04,0.16,0.0,0.0086555255332456
QRC,47,0.04,0.16,0.05,9.277824675798522
QRC,47,0.04,0.16,0.12,7.837963711775595
QRC,47,0.04,0.16,0.22,6.205423931838576
QRC,47,0.04,0.16,0.3,5.593871135494654
QRC,47,0.04,0.28,0.0,0.0086820825414786
QRC,47,0.04,0.28,0.05,9.054516584596325
QRC,47,0.04,0.28,0.12,6.824832818223189
QRC,47,0.04,0.28,0.22,5.728152973815648
QRC,47,0.04,0.28,0.3,4.6682931979311695
QRC,47,0.04,0.42,0.0,0.0209553367315963
QRC,47,0.04,0.42,0.05,8.941436275638843
QRC,47,0.04,0.42,0.12,8.582034234459169
QRC,47,0.04,0.42,0.22,6.957331775324231
QRC,47,0.04,0.42,0.3,6.018171634144228
QRC,47,0.07,0.0,0.0,0.0
QRC,47,0.07,0.0,0.05,0.0
QRC,47,0.07,0.0,0.12,0.0
QRC,47,0.07,0.0,0.22,0.0
QRC,47,0.07,0.0,0.3,0.0
QRC,47,0.07,0.05,0.0,0.0
QRC,47,0.07,0.05,0.05,7.897725665517294
QRC,47,0.07,0.05,0.12,7.498522421987445
QRC,47,0.07,0.05,0.22,6.297401008794342
QRC,47,0.07,0.05,0.3,5.743621808713346
QRC,47,0.07,0.1,0.0,0.0
QRC,47,0.07,0.1,0.05,7.753164496714849
QRC,47,0.07,0.1,0.12,7.254694174217276
QRC,47,0.07,0.1,0.22,5.923489344912373
QRC,47,0.07,0.1,0.3,5.204576094861531
QRC,47,0.07,0.12,0.0,0.0
QRC,47,0.07,0.12,0.05,8.322243282389739
QRC,47,0.07,0.12,0.12,7.309796309914735
QRC,47,0.07,0.12,0.22,5.84883566158754
QRC,47,0.07,0.12,0.3,5.177564137134148
QRC,47,0.07,0.16,0.0,0.0
QRC,47,0.07,0.16,0.05,7.612219343880933
QRC,47,0.07,0.16,0.12,6.651970024751272
QRC,47,0.07,0.16,0.22,5.513222963736797
QRC,47,0.07,0.16,0.3,4.992060049043358
QRC,47,0.07,0.28,0.0,0.0386699346714897
QRC,47,0.07,0.28,0.05,7.1097923524614695
QRC,47,0.07,0.28,0.12,5.926249923792874
QRC,47,0.07,0.28,0.22,5.098415831007259
QRC,47,0.07,0.28,0.3,4.18338737295586
QRC,47,0.07,0.42,0.0,0.0
QRC,47,0.07,0.42,0.05,7.482060339885963
QRC,47,0.07,0.42,0.12,7.596722732050049
QRC,47,0.07,0.42,0.22,6.092542677695904
QRC,47,0.07,0.42,0.3,5.439368672378895
QRC,47,0.1,0.0,0.0,0.0
QRC,47,0.1,0.0,0.05,0.0
QRC,47,0.1,0.0,0.12,0.0
QRC,47,0.1,0.0,0.22,0.0
QRC,47,0.1,0.0,0.3,0.0
QRC,47,0.1,0.05,0.0,0.0
QRC,47,0.1,0.05,0.05,6.706503783662419
QRC,47,0.1,0.05,0.12,6.559343389480194
QRC,47,0.1,0.05,0.22,5.77678228483604
QRC,47,0.1,0.05,0.3,5.077767102219313
QRC,47,0.1,0.1,0.0,0.0
QRC,47,0.1,0.1,0.05,6.705060311959262
QRC,47,0.1,0.1,0.12,6.347591574139293
QRC,47,0.1,0.1,0.22,5.355809647902738
QRC,47,0.1,0.1,0.3,4.713839542792761
QRC,47,0.1,0.12,0.0,0.0
QRC,47,0.1,0.12,0.05,7.075426749150985
QRC,47,0.1,0.12,0.12,6.4605232171519145
QRC,47,0.1,0.12,0.22,5.309488357832921
QRC,47,0.1,0.12,0.3,4.7492497067965775
QRC,47,0.1,0.16,0.0,0.0
QRC,47,0.1,0.16,0.05,6.32424082417769
QRC,47,0.1,0.16,0.12,5.77112142961658
QRC,47,0.1,0.16,0.22,5.001933609254573
QRC,47,0.1,0.16,0.3,4.517268267925292
QRC,47,0.1,0.28,0.0,0.0
QRC,47,0.1,0.28,0.05,5.519086329419683
QRC,47,0.1,0.28,0.12,5.270361808792017
QRC,47,0.1,0.28,0.22,4.56927179270824
QRC,47,0.1,0.28,0.3,3.706451379802542
QRC,47,0.1,0.42,0.0,0.0
QRC,47,0.1,0.42,0.05,6.583138924637986
QRC,47,0.1,0.42,0.12,6.766439063780736
QRC,47,0.1,0.42,0.22,5.45189707908499
QRC,47,0.1,0.42,0.3,4.871582973826698
QRC,47,0.22,0.0,0.0,0.0
QRC,47,0.22,0.0,0.05,0.0
QRC,47,0.22,0.0,0.12,0.0
QRC,47,0.22,0.0,0.22,0.0
QRC,47,0.22,0.0,0.3,0.0
QRC,47,0.22,0.05,0.0,0.0043463553007746
QRC,47,0.22,0.05,0.05,3.399510775466475
QRC,47,0.22,0.05,0.12,3.974267577894323
QRC,47,0.22,0.05,0.22,3.7107748146037824
QRC,47,0.22,0.05,0.3,3.329769265083596
QRC,47,0.22,0.1,0.0,0.0
QRC,47,0.22,0.1,0.05,3.3120144800258267
QRC,47,0.22,0.1,0.12,3.7282728260579256
QRC,47,0.22,0.1,0.22,3.631393442622816
QRC,47,0.22,0.1,0.3,3.5484203429348407
QRC,47,0.22,0.12,0.0,0.0
QRC,47,0.22,0.12,0.05,3.4967778206986866
QRC,47,0.22,0.12,0.12,3.80156608368547
QRC,47,0.22,0.12,0.22,3.696017146987284
QRC,47,0.22,0.12,0.3,3.5865077051227146
QRC,47,0.22,0.16,0.0,0.0
QRC,47,0.22,0.16,0.05,3.224547832989851
QRC,47,0.22,0.16,0.12,3.5677495352276454
QRC,47,0.22,0.16,0.22,3.451833540621968
QRC,47,0.22,0.16,0.3,3.2412356213380438
QRC,47,0.22,0.28,0.0,0.0105220611518993
QRC,47,0.22,0.28,0.05,3.1974183436356243
QRC,47,0.22,0.28,0.12,3.267465616661489
QRC,47,0.22,0.28,0.22,2.944757333106252
QRC,47,0.22,0.28,0.3,2.80361639517462
QRC,47,0.22,0.42,0.0,0.0
QRC,47,0.22,0.42,0.05,3.975161789863267
QRC,47,0.22,0.42,0.12,4.144918648584847
QRC,47,0.22,0.42,0.22,3.673972627247193
QRC,47,0.22,0.42,0.3,3.4873619844571198
QRC,47,0.5,0.0,0.0,0.0
QRC,47,0.5,0.0,0.05,0.0
QRC,47,0.5,0.0,0.12,0.0
QRC,47,0.5,0.0,0.22,0.0
QRC,47,0.5,0.0,0.3,0.0
QRC,47,0.5,0.05,0.0,0.0
QRC,47,0.5,0.05,0.05,0.8945548596113395
QRC,47,0.5,0.05,0.12,1.2276964244109767
QRC,47,0.5,0.05,0.22,1.4529854861913272
QRC,47,0.5,0.05,0.3,1.3384430220765575
QRC,47,0.5,0.1,0.0,0.0
QRC,47,0.5,0.1,0.05,1.1687285630835846
QRC,47,0.5,0.1,0.12,1.4580911826381
QRC,47,0.5,0.1,0.22,1.6016384941180837
QRC,47,0.5,0.1,0.3,1.5841951865652937
QRC,47,0.5,0.12,0.0,0.0
QRC,47,0.5,0.12,0.05,1.2263760222765687
QRC,47,0.5,0.12,0.12,1.4390896938693247
QRC,47,0.5,0.12,0.22,1.542536162444893
QRC,47,0.5,0.12,0.3,1.5066398226462392
QRC,47,0.5,0.16,0.0,0.0
QRC,47,0.5,0.16,0.05,1.2936975054840647
QRC,47,0.5,0.16,0.12,1.5454188711791956
QRC,47,0.5,0.16,0.22,1.594323903578867
QRC,47,0.5,0.16,0.3,1.587780538383662
QRC,47,0.5,0.28,0.0,0.0
QRC,47,0.5,0.28,0.05,1.394997970471481
QRC,47,0.5,0.28,0.12,1.6089979059340087
QRC,47,0.5,0.28,0.22,1.2047752050219338
QRC,47,0.5,0.28,0.3,1.0139299979053042
QRC,47,0.5,0.42,0.0,0.0105461284913697
QRC,47,0.5,0.42,0.05,1.047352781468626
QRC,47,0.5,0.42,0.12,1.3009488843511083
QRC,47,0.5,0.42,0.22,1.4536056292939818
QRC,47,0.5,0.42,0.3,1.4858806189741394
QRC,48,0.0,0.0,0.0,0.0
QRC,48,0.0,0.0,0.05,0.0
QRC,48,0.0,0.0,0.12,0.0
QRC,48,0.0,0.0,0.22,0.0
QRC,48,0.0,0.0,0.3,0.0
QRC,48,0.0,0.05,0.0,0.0
QRC,48,0.0,0.05,0.05,0.0
QRC,48,0.0,0.05,0.12,0.0
QRC,48,0.0,0.05,0.22,0.0
QRC,48,0.0,0.05,0.3,0.0
QRC,48,0.0,0.1,0.0,0.0
QRC,48,0.0,0.1,0.05,0.0
QRC,48,0.0,0.1,0.12,0.0
QRC,48,0.0,0.1,0.22,0.0
QRC,48,0.0,0.1,0.3,0.0
QRC,48,0.0,0.12,0.0,0.0070232474108272
QRC,48,0.0,0.12,0.05,0.0
QRC,48,0.0,0.12,0.12,0.0
QRC,48,0.0,0.12,0.22,0.0
QRC,48,0.0,0.12,0.3,0.0
QRC,48,0.0,0.16,0.0,0.0
QRC,48,0.0,0.16,0.05,0.0
QRC,48,0.0,0.16,0.12,0.0
QRC,48,0.0,0.16,0.22,0.0
QRC,48,0.0,0.16,0.3,0.0
QRC,48,0.0,0.28,0.0,0.0
QRC,48,0.0,0.28,0.05,0.0
QRC,48,0.0,0.28,0.12,0.0
QRC,48,0.0,0.28,0.22,0.0
QRC,48,0.0,0.28,0.3,0.0
QRC,48,0.0,0.42,0.0,0.0
QRC,48,0.0,0.42,0.05,0.0
QRC,48,0.0,0.42,0.12,0.0
QRC,48,0.0,0.42,0.22,0.0
QRC,48,0.0,0.42,0.3,0.0
QRC,48,0.02,0.0,0.0,0.0
QRC,48,0.02,0.0,0.05,0.0
QRC,48,0.02,0.0,0.12,0.0
QRC,48,0.02,0.0,0.22,0.0
QRC,48,0.02,0.0,0.3,0.0
QRC,48,0.02,0.05,0.0,0.0
QRC,48,0.02,0.05,0.05,9.173458719666838
QRC,48,0.02,0.05,0.12,8.714997351501147
QRC,48,0.02,0.05,0.22,7.1044420860446
QRC,48,0.02,0.05,0.3,6.281693058346113
QRC,48,0.02,0.1,0.0,0.0
QRC,48,0.02,0.1,0.05,9.021047440794751
QRC,48,0.02,0.1,0.12,7.861349332363879
QRC,48,0.02,0.1,0.22,6.447499773658252
QRC,48,0.02,0.1,0.3,5.265999556630133
QRC,48,0.02,0.12,0.0,0.0
QRC,48,0.02,0.12,0.05,9.060090419586984
QRC,48,0.02,0.12,0.12,7.317440050602317
QRC,48,0.02,0.12,0.22,5.866747780894385
QRC,48,0.02,0.12,0.3,4.5851319215603965
QRC,48,0.02,0.16,0.0,0.0
QRC,48,0.02,0.16,0.05,8.254554877147958
QRC,48,0.02,0.16,0.12,7.390984402472849
QRC,48,0.02,0.16,0.22,5.5323798716468815
QRC,48,0.02,0.16,0.3,4.058401660199018
QRC,48,0.02,0.28,0.0,0.007592875783299
QRC,48,0.02,0.28,0.05,10.795303716424286
QRC,48,0.02,0.28,0.12,8.092365752849842
QRC,48,0.02,0.28,0.22,5.560641608599336
QRC,48,0.02,0.28,0.3,4.102192438569514
QRC,48,0.02,0.42,0.0,0.0
QRC,48,0.02,0.42,0.05,9.695162116797514
QRC,48,0.02,0.42,0.12,8.701460206627981
QRC,48,0.02,0.42,0.22,6.585567001517736
QRC,48,0.02,0.42,0.3,5.609059502065822
QRC,48,0.04,0.0,0.0,0.0
QRC,48,0.04,0.0,0.05,0.0
QRC,48,0.04,0.0,0.12,0.0
QRC,48,0.04,0.0,0.22,0.0
QRC,48,0.04,0.0,0.3,0.0
QRC,48,0.04,0.05,0.0,0.0
QRC,48,0.04,0.05,0.05,8.084823730763459
QRC,48,0.04,0.05,0.12,7.290459428025141
QRC,48,0.04,0.05,0.22,6.495359046570856
QRC,48,0.04,0.05,0.3,5.973973171356397
QRC,48,0.04,0.1,0.0,0.0
QRC,48,0.04,0.1,0.05,8.09109410025158
QRC,48,0.04,0.1,0.12,7.08584458828323
QRC,48,0.04,0.1,0.22,6.107323999462521
QRC,48,0.04,0.1,0.3,5.064549341648634
QRC,48,0.04,0.12,0.0,0.0
QRC,48,0.04,0.12,0.05,7.982745822311874
QRC,48,0.04,0.12,0.12,6.7451209783888935
QRC,48,0.04,0.12,0.22,5.557239463946282
QRC,48,0.04,0.12,0.3,4.651423759871635
QRC,48,0.04,0.16,0.0,0.0
QRC,48,0.04,0.16,0.05,7.158241985247464
QRC,48,0.04,0.16,0.12,6.770710399819826
QRC,48,0.04,0.16,0.22,5.304930449664001
QRC,48,0.04,0.16,0.3,4.065889888626943
QRC,48,0.04,0.28,0.0,0.0031731298561945
QRC,48,0.04,0.28,0.05,9.272521294123615
QRC,48,0.04,0.28,0.12,7.245075234159202
QRC,48,0.04,0.28,0.22,5.491335413041554
QRC,48,0.04,0.28,0.3,4.186788241468153
QRC,48,0.04,0.42,0.0,0.0
QRC,48,0.04,0.42,0.05,8.505192483250797
QRC,48,0.04,0.42,0.12,7.590143413981429
QRC,48,0.04,0.42,0.22,6.279549862993461
QRC,48,0.04,0.42,0.3,5.386717360615656
QRC,48,0.07,0.0,0.0,0.0
QRC,48,0.07,0.0,0.05,0.0
QRC,48,0.07,0.0,0.12,0.0
QRC,48,0.07,0.0,0.22,0.0
QRC,48,0.07,0.0,0.3,0.0
QRC,48,0.07,0.05,0.0,0.0
QRC,48,0.07,0.05,0.05,6.90357500140473
QRC,48,0.07,0.05,0.12,6.124776587171613
QRC,48,0.07,0.05,0.22,5.886627095819664
QRC,48,0.07,0.05,0.3,5.49231959207704
QRC,48,0.07,0.1,0.0,0.0166592062194729
QRC,48,0.07,0.1,0.05,7.136417588360737
QRC,48,0.07,0.1,0.12,6.408143992879031
QRC,48,0.07,0.1,0.22,5.42368120508168
QRC,48,0.07,0.1,0.3,4.514236659419137
QRC,48,0.07,0.12,0.0,0.0
QRC,48,0.07,0.12,0.05,6.992017471348781
QRC,48,0.07,0.12,0.12,6.243592735944523
QRC,48,0.07,0.12,0.22,5.041362630764319
QRC,48,0.07,0.12,0.3,4.364998525967757
QRC,48,0.07,0.16,0.0,0.0
QRC,48,0.07,0.16,0.05,6.264779141329938
QRC,48,0.07,0.16,0.12,6.054081817517499
QRC,48,0.07,0.16,0.22,4.7305785885935
QRC,48,0.07,0.16,0.3,3.566357680408375
QRC,48,0.07,0.28,0.0,0.0
QRC,48,0.07,0.28,0.05,7.750636464285138
QRC,48,0.07,0.28,0.12,6.452629408390147
QRC,48,0.07,0.28,0.22,4.983640967620994
QRC,48,0.07,0.28,0.3,3.968038004945042
QRC,48,0.07,0.42,0.0,0.0027350455582551
QRC,48,0.07,0.42,0.05,7.209500233228867
QRC,48,0.07,0.42,0.12,6.427536971931499
QRC,48,0.07,0.42,0.22,5.523970413010451
QRC,48,0.07,0.42,0.3,4.925207242533475
QRC,48,0.1,0.0,0.0,0.0
QRC,48,0.1,0.0,0.05,0.0
QRC,48,0.1,0.0,0.12,0.0
QRC,48,0.1,0.0,0.22,0.0
QRC,48,0.1,0.0,0.3,0.0
QRC,48,0.1,0.05,0.0,0.0
QRC,48,0.1,0.05,0.05,5.9378183529018
QRC,48,0.1,0.05,0.12,5.524175341674745
QRC,48,0.1,0.05,0.22,5.410755552142821
QRC,48,0.1,0.05,0.3,5.069573248556548
QRC,48,0.1,0.1,0.0,0.0
QRC,48,0.1,0.1,0.05,6.283977300837079
QRC,48,0.1,0.1,0.12,5.822604144606663
QRC,48,0.1,0.1,0.22,4.729317092613757
QRC,48,0.1,0.1,0.3,3.958281932299848
QRC,48,0.1,0.12,0.0,0.0
QRC,48,0.1,0.12,0.05,6.229489110717868
QRC,48,0.1,0.12,0.12,5.782148160237459
QRC,48,0.1,0.12,0.22,4.571390189280386
QRC,48,0.1,0.12,0.3,3.9634489148390353
QRC,48,0.1,0.16,0.0,0.0
QRC,48,0.1,0.16,0.05,5.78426725865028
QRC,48,0.1,0.16,0.12,5.544065179049098
QRC,48,0.1,0.16,0.22,4.215231727935407
QRC,48,0.1,0.16,0.3,3.178739149953345
QRC,48,0.1,0.28,0.0,0.0004053082769004
QRC,48,0.1,0.28,0.05,6.6615852212027065
QRC,48,0.1,0.28,0.12,5.791982080799793
QRC,48,0.1,0.28,0.22,4.488095251766782
QRC,48,0.1,0.28,0.3,3.719378294203016
QRC,48,0.1,0.42,0.0,0.0
QRC,48,0.1,0.42,0.05,6.203694874360901
QRC,48,0.1,0.42,0.12,5.617551480202956
QRC,48,0.1,0.42,0.22,4.842085550345157
QRC,48,0.1,0.42,0.3,4.413822265428023
QRC,48,0.22,0.0,0.0,0.006541865422343
QRC,48,0.22,0.0,0.05,0.0
QRC,48,0.22,0.0,0.12,0.0
QRC,48,0.22,0.0,0.22,0.0
QRC,48,0.22,0.0,0.3,0.0
QRC,48,0.22,0.05,0.0,0.0829571530297025
QRC,48,0.22,0.05,0.05,3.390050001898242
QRC,48,0.22,0.05,0.12,3.7574851552299298
QRC,48,0.22,0.05,0.22,3.639695778909512
QRC,48,0.22,0.05,0.3,3.3644568722093533
QRC,48,0.22,0.1,0.0,0.0
QRC,48,0.22,0.1,0.05,3.791116829824692
QRC,48,0.22,0.1,0.12,3.5525610362968743
QRC,48,0.22,0.1,0.22,3.044067794350983
QRC,48,0.22,0.1,0.3,2.926678825958184
QRC,48,0.22,0.12,0.0,0.0
QRC,48,0.22,0.12,0.05,3.9350810679848216
QRC,48,0.22,0.12,0.12,3.746560221870554
QRC,48,0.22,0.12,0.22,3.20784647670312
QRC,48,0.22,0.12,0.3,2.9755518793605686
QRC,48,0.22,0.16,0.0,0.0044032723376389
QRC,48,0.22,0.16,0.05,3.8431125636906898
QRC,48,0.22,0.16,0.12,3.658519999522813
QRC,48,0.22,0.16,0.22,2.7576290174598865
QRC,48,0.22,0.16,0.3,2.313343767666286
QRC,48,0.22,0.28,0.0,0.0
QRC,48,0.22,0.28,0.05,3.487155887624305
QRC,48,0.22,0.28,0.12,3.568443923091846
QRC,48,0.22,0.28,0.22,2.980341614906319
QRC,48,0.22,0.28,0.3,2.6445525427852834
QRC,48,0.22,0.42,0.0,0.0
QRC,48,0.22,0.42,0.05,3.785527261170636
QRC,48,0.22,0.42,0.12,3.5161110065117
QRC,48,0.22,0.42,0.22,3.2218068169657403
QRC,48,0.22,0.42,0.3,3.0902414372662075
QRC,48,0.5,0.0,0.0,0.0
QRC,48,0.5,0.0,0.05,0.0
QRC,48,0.5,0.0,0.12,0.0133814985882261
QRC,48,0.5,0.0,0.22,0.0052618529530048
QRC,48,0.5,0.0,0.3,0.0
QRC,48,0.5,0.05,0.0,0.0
QRC,48,0.5,0.05,0.05,1.1918648025142122
QRC,48,0.5,0.05,0.12,1.2873827041379766
QRC,48,0.5,0.05,0.22,1.3117285937003371
QRC,48,0.5,0.05,0.3,1.3634081477569469
QRC,48,0.5,0.1,0.0,0.0
QRC,48,0.5,0.1,0.05,1.4206998276248597
QRC,48,0.5,0.1,0.12,1.5522831417171374
QRC,48,0.5,0.1,0.22,1.6600833565533328
QRC,48,0.5,0.1,0.3,1.6219984645788217
QRC,48,0.5,0.12,0.0,0.0
