p,q,beta_pi,lambda_pi,gamma,top_frequency,mean_val_rank,mean_val_nmse,in_band
10,0.5,0.1,0.0,0.0,0.0,0.8179591836734694,1.2519343585555787,False
10,0.5,0.1,0.0,0.05,0.0,0.6984183673469387,0.9523238784185482,False
10,0.5,0.1,0.0,0.12,0.0,0.7385204081632654,1.099313364178005,False
10,0.5,0.1,0.0,0.22,0.0,0.7588265306122449,1.1589236567923864,False
10,0.5,0.1,0.0,0.3,0.0,0.7675510204081633,1.1991810243552588,False
10,0.5,0.1,0.05,0.0,0.0,0.7412244897959184,1.1617226984260176,False
10,0.5,0.1,0.05,0.05,0.1625,0.3494387755102041,0.16569192000055247,False
10,0.5,0.1,0.05,0.12,0.1,0.25704081632653064,0.16276081307839235,False
10,0.5,0.1,0.05,0.22,0.2,0.21265306122448982,0.1851022851659436,False
10,0.5,0.1,0.05,0.3,0.3,0.18709183673469387,0.19274962040007187,False
10,0.5,0.1,0.1,0.0,0.0,0.7691836734693878,1.146857118334214,False
10,0.5,0.1,0.1,0.05,0.1125,0.33540816326530615,0.1685147509075729,False
10,0.5,0.1,0.1,0.12,0.1875,0.19816326530612244,0.17947009399914077,False
10,0.5,0.1,0.1,0.22,0.3375,0.1786734693877551,0.19572114888438255,False
10,0.5,0.1,0.1,0.3,0.325,0.19168367346938775,0.19916817378080048,False
10,0.5,0.1,0.12,0.0,0.0,0.7341836734693877,1.173193387123011,False
10,0.5,0.1,0.12,0.05,0.1375,0.3323469387755102,0.17146334851398046,False
10,0.5,0.1,0.12,0.12,0.2625,0.19591836734693877,0.18654050781098175,False
10,0.5,0.1,0.12,0.22,0.45,0.16857142857142857,0.19821343518761253,False
10,0.5,0.1,0.12,0.3,0.275,0.20270408163265308,0.20122853660036863,False
10,0.5,0.1,0.16,0.0,0.0,0.7538775510204082,1.195443423253296,False
10,0.5,0.1,0.16,0.05,0.05,0.36244897959183675,0.19153494465783347,False
10,0.5,0.1,0.16,0.12,0.1625,0.24290816326530612,0.19799334536653565,False
10,0.5,0.1,0.16,0.22,0.325,0.19709183673469388,0.20202259778745155,False
10,0.5,0.1,0.16,0.3,0.25,0.23469387755102042,0.20462519786439856,False
10,0.5,0.1,0.28,0.0,0.0,0.771734693877551,1.1771006598482596,False
10,0.5,0.1,0.28,0.05,0.0125,0.4186224489795919,0.19676101188121303,False
10,0.5,0.1,0.28,0.12,0.0875,0.32734693877551024,0.2021923360131889,False
10,0.5,0.1,0.28,0.22,0.1375,0.2442857142857143,0.20097596595264222,False
10,0.5,0.1,0.28,0.3,0.2,0.235765306122449,0.2010655952582657,False
10,0.5,0.1,0.42,0.0,0.0,0.733265306122449,1.1487517346724214,False
10,0.5,0.1,0.42,0.05,0.125,0.3489795918367347,0.1669147794068658,False
10,0.5,0.1,0.42,0.12,0.15,0.20622448979591837,0.1707478636334372,False
10,0.5,0.1,0.42,0.22,0.25,0.1822448979591837,0.19005952306980364,False
10,0.5,0.1,0.42,0.3,0.325,0.1745408163265306,0.19590760781702637,False
10,0.5,0.22,0.0,0.0,0.0,0.7725,1.171683465916039,False
10,0.5,0.22,0.0,0.05,0.0,0.6892346938775511,0.9986651808905572,False
10,0.5,0.22,0.0,0.12,0.0,0.7312244897959184,1.0083210836405405,False
10,0.5,0.22,0.0,0.22,0.0,0.7315306122448979,1.014826770397658,False
10,0.5,0.22,0.0,0.3,0.0,0.739030612244898,1.067164211402384,False
10,0.5,0.22,0.05,0.0,0.0,0.7223979591836736,1.0712097489255386,False
10,0.5,0.22,0.05,0.05,0.0,0.4384693877551021,0.20372694211328377,False
10,0.5,0.22,0.05,0.12,0.0125,0.37831632653061226,0.19418787364728582,False
10,0.5,0.22,0.05,0.22,0.025,0.3239795918367347,0.19653018507303738,False
10,0.5,0.22,0.05,0.3,0.0625,0.2980612244897959,0.19818852545362822,False
10,0.5,0.22,0.1,0.0,0.0,0.7543367346938775,1.113678426282007,False
10,0.5,0.22,0.1,0.05,0.025,0.4264795918367347,0.20638585786931657,False
