task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
narma10,55,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0113913615722254,1.0385009140704837,1000.0
sunspots_annual,55,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0051196473253263,1.0084137449165786,1000.0
lorenz,56,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2674459371985543,0.9837563952719632,1000.0
mackey_glass,56,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9999397961215837,1.004633495881045,100.0
narma10,56,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0093322046631437,1.0243109530215802,1000.0
sunspots_annual,56,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0074519411719702,1.010359559130469,1000.0
lorenz,57,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.27130317782718,0.9978973220948127,1000.0
mackey_glass,57,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0048959550075098,1.0278073989931544,1000.0
narma10,57,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.008597164652564,1.0436843298105207,1000.0
sunspots_annual,57,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0062759528938845,1.0079966568905572,1000.0
lorenz,58,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2197928218003846,1.0027822132763675,1000.0
mackey_glass,58,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0003114081671822,1.002864033992157,1000.0
narma10,58,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0029241460041984,1.0432377273053288,100.0
sunspots_annual,58,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.885857839010715,0.9665103236500429,100.0
lorenz,59,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2197976586607613,1.002690528203816,1000.0
mackey_glass,59,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0001071724619528,1.0030726230783045,1000.0
narma10,59,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.008929013596441,1.0319121273518919,1000.0
sunspots_annual,59,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.007155903470205,1.0104935067045475,1000.0
lorenz,60,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.8280093649426916,1.1564503218330777,1e-08
mackey_glass,60,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0040411552754327,1.018128179336797,1000.0
narma10,60,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0295992704391497,1.0176428698421196,1000.0
sunspots_annual,60,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.0298138267209003,0.9939677937782256,1000.0
lorenz,61,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,2.2915085402379862,1.06580076392044,1000.0
mackey_glass,61,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9997325869802617,0.9972325410193885,1000.0
narma10,61,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,0.9746900688775634,1.056466156689251,1e-08
sunspots_annual,61,Z+ZZ,0.0,0.0,0.0,4,3,ring,rx_zz,uniform,amplitude,1.004183586896356,1.011971243426643,1000.0
lorenz,42,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,42,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,42,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,42,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0025112828612477,1.013996126018992,1e-08
lorenz,43,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,43,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,43,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,43,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.002799457512906,1.0133170272662984,1e-05
